Species,Lake,Date tagged,Release Time,Trap ID,Trap depth (m),Trap temperature,Acoustic tag number,Floy tag number,Floy reward amount,PIT tag number,Total length (cm),Weight (g),Surgery duration (min),Electric glove setting (mA),Release location,Notes
Burbot,Carp Lake,6/21/22,,CARP2-397,8.3,,NA,7372,100,NA,54.5,1100,NA,NA,CARP2-397,
Burbot,Carp Lake,6/24/22,,CARP2-41,8.6,,NA,7394,100,NA,71,2650,NA,NA,CARP2-41,
Burbot,Carp Lake,6/24/22,,CARP2-41,8.6,,NA,7585,0,NA,59,1300,NA,NA,CARP2-41,
Burbot,Carp Lake,6/23/22,,CARP2-438,9.9,,NA,7388,100,NA,66.5,2300,NA,NA,CARP2-438,
Burbot,Carp Lake,6/23/22,,CARP2-448,9.7,,NA,7386,100,NA,63.5,1800,NA,NA,CARP2-448,
Burbot,Carp Lake,6/23/22,,CARP2-448,9.7,,NA,7575,0,NA,58.5,1400,NA,NA,CARP2-448,
Burbot,Carp Lake,6/22/22,,CARP2-449,9.7,,NA,7380,100,NA,81.5,4350,NA,NA,CARP2-449,
Burbot,Carp Lake,6/22/22,,CARP2-449,9.7,,NA,7566,0,NA,64,2050,NA,NA,CARP2-449,
Burbot,Carp Lake,6/23/22,,CARP2-453,9.6,,NA,7389,100,NA,62,1400,NA,NA,CARP2-453,
Burbot,Carp Lake,6/23/22,,CARP2-458,10,,NA,7581,0,NA,73.5,3350,NA,NA,CARP2-458,
Burbot,Carp Lake,6/23/22,,CARP2-458,10,,NA,7392,100,NA,66,NA,NA,NA,CARP2-458,Released before remembering to measure weight
Burbot,Carp Lake,6/23/22,,CARP2-458,10,,NA,7582,0,NA,56,1050,NA,NA,CARP2-458,
Burbot,Carp Lake,6/23/22,,CARP2-464,9.7,,NA,7393,100,NA,57,1200,NA,NA,CARP2-464,
Burbot,Carp Lake,6/24/22,,CARP2-466,9.3,,NA,7586,0,NA,91,5050,NA,NA,CARP2-466,
Burbot,Carp Lake,6/22/22,,CARP2-490,9.4,,NA,7564,0,NA,75,2250,NA,NA,CARP2-490,
Burbot,Carp Lake,6/22/22,,CARP2-490,9.4,,NA,7379,100,NA,59,1350,NA,NA,CARP2-490,
Burbot,Carp Lake,6/22/22,,CARP2-490,9.4,,NA,7565,0,NA,52,700,NA,NA,CARP2-490,
Burbot,Carp Lake,6/22/22,,CARP2-495,10,,NA,7562,0,NA,61.5,1400,NA,NA,CARP2-495,
Burbot,Carp Lake,6/22/22,,CARP2-495,10,,NA,7378,100,NA,50,850,NA,NA,CARP2-495,
Burbot,Carp Lake,6/22/22,,CARP2-5,6,,NA,7381,100,NA,64.5,1650,NA,NA,CARP2-5,
Burbot,Carp Lake,6/22/22,,CARP2-532,7,,NA,7377,100,NA,65,1550,NA,NA,CARP2-532,
Burbot,Carp Lake,6/22/22,,CARP2-536,8.3,,NA,7567,0,NA,65,1950,NA,NA,CARP2-536,"Net caught on operculum but was dislodged (there was a hole in the net, which we then repaired) and burbot seemed ok. Tagged with no-reward"
Burbot,Carp Lake,6/21/22,,CARP2-545,10,,NA,7375,100,NA,55.5,1850,NA,NA,CARP2-545,
Burbot,Carp Lake,6/23/22,,CARP2-548,10,,NA,7384,0,NA,68.5,2050,NA,NA,CARP2-548,
Burbot,Carp Lake,6/23/22,,CARP2-548,10,,NA,7570,0,NA,60,1050,NA,NA,CARP2-548,RECAPTURE!
Burbot,Carp Lake,6/24/22,,CARP2-551,9,,NA,7396,100,NA,70.5,2300,NA,NA,CARP2-551,
Burbot,Carp Lake,6/21/22,,CARP2-592,5,,NA,7374,100,NA,55,1150,NA,NA,CARP2-592,
Burbot,Carp Lake,6/21/22,,CARP2-594,9.3,,NA,7373,100,NA,75,3250,NA,NA,CARP2-594,
Burbot,Carp Lake,6/24/22,,CARP2-613,9.4,,NA,7583,0,NA,74,2400,NA,NA,CARP2-613,
Burbot,Carp Lake,6/22/22,,CARP2-634,9.8,,NA,7383,100,NA,72,2550,NA,NA,CARP2-634,
Burbot,Carp Lake,6/22/22,,CARP2-72,9.4,,NA,7570,0,NA,60,1050,NA,NA,CARP2-72,
Burbot,Carp Lake,6/22/22,,CARP2-86,5,,NA,7568,0,NA,68.5,1850,NA,NA,CARP2-86,
Burbot,Carp Lake,6/22/22,,CARP2-86,5,,NA,7382,100,NA,59,1500,NA,NA,CARP2-86,
Burbot,Carp Lake,6/22/22,,CARP2-86,5,,NA,7569,0,NA,61.5,1450,NA,NA,CARP2-86,
Burbot,Cluculz Lake,5/31/22,,CLU-Z3-166,8,,NA,7411,100,NA,61.5,1500,NA,NA,CLU-Z3-166,"recorded as fish ID ""CZ01"" on set sheet"
Burbot,Fraser Lake,5/12/22,15:30,TZ1-218,4.1,,1505878,7210,0,6914570,57.5,1100,17,15,TZ1-345,escaped during surgery and hit floor of boat before placing acoustic tag
Burbot,Fraser Lake,5/12/22,15:30,TZ1-229,3,,1505876,7033,100,6913131,62,1150,15,10,TZ1-345,
Burbot,Fraser Lake,5/14/22,19:45,TZ1-318,9.6,,NA,7001,100,6916151,62.5,1150,NA,NA,7001,RECAPTURE. Was held at 5m trap for additional 5hours to recover from apparent barotrauma. Fish recovered well and swam down when released.
Burbot,Fraser Lake,6/12/22,,TZ1-365,6.6,,NA,7481,0,NA,34,150,NA,NA,TZ1-365,Floy tagged only
Burbot,Fraser Lake,6/12/22,,TZ1-376,4.1,,NA,7370,100,NA,45,450,NA,NA,TZ1-376,Floy tagged only
Burbot,Fraser Lake,6/10/22,,TZ1-85,9.7,,1388442,7368,100,6915344,66,1350,7.5,15,,turned gloves up to 20 near end because fish was struggling. 3 sutures
Burbot,Fraser Lake,6/10/22,,TZ1-85,9.7,,NA,7480,0,NA,65.5,1150,NA,NA,Beaumont,"had large lump on underside. Parasites on dorsal side of body. Did not acoustic-tag, suspected interal parasites. Secondary Floy tag 7478"
Burbot,Fraser Lake,6/10/22,,TZ1-880,9.2,,1505872,7477,0,6830373,60.5,1050,7,10,,3 sutures
Burbot,Fraser Lake,6/10/22,,TZ1-880,9.2,,1505873,7366,100,6918722,65.5,1100,8,10,,3 sutures
Burbot,Fraser Lake,6/10/22,,TZ1-880,9.2,,NA,7367,100,NA,NA,NA,NA,NA,,
Burbot,Fraser Lake,6/10/22,10:56,TZ1-942,6.9,9.5,1388443,7475,0,6916664,42,350,6.5,15,TZ1-383,"""very feisty during surgery"" - had to turn up gloves from 10 to 15 mA. 3 sutures; surgeon Liz"
Burbot,Fraser Lake,6/10/22,,TZ1-95,8.1,,1388441,7479,0,6918413,43,350,15,15,,Swim bladder started coming out during surgery - widened incision and performed 4 sutures to keep it inside
Burbot,Fraser Lake,6/10/22,17:45,TZ1-969,9.7,,NA,7476,0,NA,70,1800,NA,NA,Beaumont,
Burbot,Fraser Lake,6/10/22,10:56,TZ1-977,3.5,9.9,1388451,7365,100,6989393,39.5,350,5,10,TZ1-383,"3 sutures, surgeon Liz. Photo"
Burbot,Fraser Lake,5/19/22,17:00,TZ2-349,5.2,6.9,1388438,7188,0,NA,50.2,900,8,10,,PIT tag fell out during surgery and was found after suturing. 3 sutures; surgeon Liz
Burbot,Fraser Lake,5/19/22,17:00,TZ2-382,8.6,6.7,1505869,7059,100,6911269,60,1250,9,15,,3 sutures; small incision; surgeon Liz
Burbot,Fraser Lake,5/19/22,,TZ2-489,5.6,6.9,NA,7187,0,NA,NA,NA,NA,NA,Beaumont,Attempted shuttlebox burbot - did not tag. Released in evening from Beaumont near boat launch
Burbot,Fraser Lake,6/7/22,,TZ2-55,9.4,,NA,7474,0,NA,52.5,600,NA,NA,,Lots of scratch marks on skin
Burbot,Fraser Lake,,,TZ2-56,8.9,,NA,7471,0,NA,67.5,1350,NA,NA,Beaumont,apparent barotrauma. Held in trap ~5m and released next morning near Beaumont boat launch
Burbot,Fraser Lake,6/7/22,13:30,TZ2-574,7.9,,1388439,7362,100,6909728,59.5,1050,6,10,Peterson's Beach,
Burbot,Fraser Lake,6/8/22,16:00,TZ2-574,9,,1388440,7363,100,6910272,68.5,1850,5.5,10,offshore from Beaumont,"Barotrauma - set back in trap at 3m near Beaumont, pulled again and released in good condition"
Burbot,Fraser Lake,6/7/22,13:30,TZ2-589,4.8,9.1,1505874,7054,100,6915619,70,1400,7,10,Peterson's Beach,"3 sutures, surgeon Liz"
Burbot,Fraser Lake,6/7/22,,TZ2-603,7.5,12.1,NA,7470,0,NA,43,550,NA,NA,Peterson's Beach,had lots of parasites (leeches?) on gills and on skin; did not surgery
Burbot,Fraser Lake,5/17/22,,TZ3-1119,7,6.6,NA,7208,0,NA,54,800,NA,NA,Beaumont,Was transported back for shuttlebox but did not start trial; released at Beaumont
Burbot,Fraser Lake,5/17/22,14:00,TZ3-12,5.6,,NA,7060,100,NA,52.5,1000,NA,NA,Peterson's Beach,Did not acoustic tag because gloves were not generating shock
Burbot,Fraser Lake,5/21/22,14:45,TZ4-239,9.2,7.2,1505871,7190,0,6910229,69,2150,6,10,White Swan dock,"started going belly-up after surgery (barotrauma?) - ""burped"" by Meaghan and then held in trap from boat dock for 2h, recovered for release"
Burbot,Fraser Lake,5/21/22,13:35,TZ4-239,9.2,7.2,1388444,7057,100,6914585,62,1450,7,10,BB3,"3 sutures, surgeon Liz"
Burbot,Fraser Lake,5/21/22,13:35,TZ4-257M,3.1,7.7,1505870,7058,100,6912069,65,2050,6,10,BB3,"3 sutures, surgeon Liz"
Burbot,Fraser Lake,5/21/22,10:07,TZ4-290,8.6,7,NA,7189,0,NA,35.5,250,NA,NA,TZ4-290,too small for acoustic tag
Burbot,Carp Lake,10/25/22,9:33,CARP3-Z2-420,6.5,,NA,7400,100,NA,92.1,5500,NA,NA,CARP3-Z2-420,
Burbot,Carp Lake,10/25/22,9:58,CARP3-Z2-392,3.2,,NA,7589,0,NA,81.8,3500,NA,NA,CARP3-Z2-392,
Burbot,Carp Lake,10/25/22,10:00,CARP3-Z2-120,7.7,,NA,7401,100,NA,81.2,4100,NA,NA,CARP3-Z2-120,
Burbot,Carp Lake,10/25/22,10:38,CARP3-Z2-167,9.1,,NA,7590,0,NA,84.1,4600,NA,NA,CARP3-Z2-167,
Burbot,Carp Lake,10/25/22,11:43,CARP3-Z2-393,9.8,,NA,7402,100,NA,71.3,2600,NA,NA,CARP3-Z2-393,
Burbot,Carp Lake,10/25/22,11:52,CARP3-Z2-207,3,,NA,NA,NA,NA,19,NA,NA,NA,CARP3-Z2-207,Not tagged; too small
Burbot,Carp Lake,10/25/22,12:12,CARP3-Z2-207,3,NA,NA,7592,0,NA,93.5,5900,NA,NA,CARP3-Z2-207,"Pulled up on illegal, unmarked set-line in apparently good condition (active, fighting/swimming). Released at line location"
Burbot,Carp Lake,10/26/22,9:07,CARP3-Z3-61,7,,NA,7403,100,NA,89.8,5300,NA,NA,CARP3-Z3-61,
Burbot,Carp Lake,10/26/22,9:15,CARP3-Z3-61,7,,NA,7593,0,NA,60.2,1200,NA,NA,CARP3-Z3-61,
Burbot,Carp Lake,10/26/22,9:40,CARP3-Z3-122,3.3,,NA,7404,100,NA,88.6,4500,NA,NA,CARP3-Z3-122,
Burbot,Carp Lake,10/27/22,10:00,CARP3-Z4-410,9.7,,NA,7595,0,NA,54.8,1050,NA,NA,CARP3-Z4-410,
Burbot,Carp Lake,10/27/22,11:22,CARP3-Z4-128,10,,NA,7405,100,NA,70.2,2200,NA,NA,CARP3-Z4-128,
Burbot,Carp Lake,10/27/22,11:24,CARP3-Z4-128,10,,NA,7597,0,NA,54.2,1100,NA,NA,CARP3-Z4-128,
Burbot,Carp Lake,10/27/22,12:31,CARP3-Z4-194,8.5,,NA,7406,100,NA,74.9,2700,NA,NA,CARP3-Z4-194,
Burbot,Carp Lake,10/28/22,8:50,CARP3-Z1-283,3.4,,NA,7598,0,NA,92.2,5500,NA,NA,CARP3-Z1-283,
Burbot,Carp Lake,10/28/22,8:57,CARP3-Z1-364,2.9,,NA,7407,100,NA,56.2,950,NA,NA,CARP3-Z1-364,
Burbot,Carp Lake,10/28/22,9:23,CARP3-Z1-344,3.3,,NA,7599,0,NA,88.2,5300,NA,NA,CARP3-Z1-344,
Burbot,Carp Lake,10/28/22,9:30,CARP3-Z1-286,7.2,,NA,7408,100,NA,60.8,1650,NA,NA,CARP3-Z1-286,
Burbot,Carp Lake,10/28/22,9:32,CARP3-Z1-286,7.2,,NA,7600,0,NA,62.9,1300,NA,NA,CARP3-Z1-286,
Burbot,Carp Lake,10/28/22,9:35,CARP3-Z1-286,7.2,,NA,7409,100,NA,52.2,950,NA,NA,CARP3-Z1-286,
Burbot,Carp Lake,10/28/22,9:40,CARP3-Z1-404,5.9,,NA,7601,0,NA,59.1,1200,NA,NA,CARP3-Z1-404,
Burbot,Carp Lake,10/28/22,10:27,CARP3-Z1-417,5.3,,NA,7410,100,NA,71.3,2350,NA,NA,CARP3-Z1-417,
Burbot,Carp Lake,10/28/22,10:41,CARP3-Z1-330,10,,NA,7602,0,NA,93.7,6300,NA,NA,CARP3-Z1-330,
Burbot,Carp Lake,10/28/22,11:47,CARP3-Z1-372,2.3,,NA,7311,100,NA,91.3,4900,NA,NA,CARP3-Z1-372,
