Easting UTM (ZONE 10:NAD 83),Northing UTM (ZONE 10:NAD 83),Personnel,Set Date,Set Time,Pull Date,Pull Time,Total Effort Hours,Water Temp C at Set,Water Temp C at Pull,Depth at Box (m),Lead Height (m),No. Burbot,NSC,CSU,LSU,PCC,RSC,RB,Sampling Efficiency,Site Description,Set Weather,Comments
542040,5992471,RS/CF,9/15/00,13:40,9/18/00,10:45,69.1,15,14,4.5,6',4,8,,,,,,1,"West end, out from mouth of Bateman Cr. along SW shore","sunny, calm, ~18o",Trap net is sunk to bottom.  Left at same location.
542040,5992471,RS/CF,9/18/00,11:45,9/20/00,10:10,46.4,13,13,4.5,6',2,,,,,,,1,"West end, out from mouth of Bateman Cr. along SW shore","sunny, lt./mod. wind, ~12o",Moved set.  First pull with no coarse fish.
,,,,,,,442.5,,,,,55,13,61,9,1,0,0,,,,
544481,5994805,RS/CF,10/10/00,13:35,10/12/00,12:00,46.4,9,10,5.0,14-18',15,,2,,27,,1,3,"East of Park point, off N shore ~50m","pt. cloudy, lt. wind, ~8o",One RB (FL = 278)
544481,5994805,RS/CF,10/12/00,13:25,10/16/00,12:20,94.9,10,9,5.0,14-18',23,2,18,1,,,,3,"East of Park point, off N shore ~50m","pt. cloudy, calm, ~10o",One regurgitated PCC noted in recovery bucket.  5 BB kept.
544481,5994805,RS/CF,10/16/00,14:35,10/19/00,12:40,70.1,9,8,5.0,14-18',12,,,,,,,2,"East of Park point, off N shore ~50m","pt. cloudy, lt. wind, ~8o",Moved set.  No coarse fish.
,,,,,,,211.4,,,,,50,2,20,1,27,0,1,,,,
542466,5992565,RS/CF,9/20/00,11:45,9/26/00,9:55,142.2,13,13,5.1,6',4,10,5,4,,,,1,"West end, off rip rap point along SW shore","overcast, lt. wind, ~8o",Moved set
544160,5994507,RS/CF,8/29/00,11:05,8/30/00,14:15,27.2,16,16,5.2,14-18',14,1,1,,250,,,4,Off Park point,"overcast, calm, drizzle",Reset at same location.
544160,5994507,RS/CF,8/30/00,16:00,8/31/00,10:45,18.7,16,16,5.2,14-18',5,18,16,,19,,,3,Off Park point,"overcast, shwrs., calm, ~15o",Some red spotting on the skin of some BB today and yesterday
544160,5994507,RS/CF/JB/TF,8/31/00,11:30,9/3/00,13:45,74.3,16,15,5.2,14-18',15,20,115,,52,,,4,Off Park point,"overcast, lt. wind, shwrs., ~12o",Regurgitated PCC noted in holding bucket
544160,5994507,RS/TF/CF,9/3/00,15:45,9/6/00,10:15,66.5,15,14,5.2,14-18',8,3,36,,41,,,3,Off Park point,"overcast, calm, ~8o",Reset at same location.
544160,5994507,RS/CF,9/6/00,11:30,9/8/00,13:50,50.3,15,14,5.2,14-18',9,15,30,,128,,1,4,Off Park point,"sunny, calm, ~15o",RB = 232mm FL and healthy.  Several very large NSC.  Processed and released BB off N shore west of Park re: calmer conditions.  Held largest BB (750mm) in small TN re: radio tag.
544160,5994507,RS/CF,9/8/00,14:30,9/11/00,13:00,70.5,13,14,5.2,14-18',2,3,47,2,6,,,2,Off Park point,"overcast, lt./mod. wind, shwrs., ~14o","Large BB (560mm) kept in TN for radio tag .  One very large NSC, ~2kg+."
544160,5994507,RS/CF/RVS,9/11/00,13:40,9/14/00,10:30,68.8,14,14,5.2,14-18',4,2,110,2,10,,,4,Off Park point,"overcast, lt. wind, rain, ~6o",Moved set.  Large BB (560mm) had escaped.
541763,5992600,RS/CF,10/30/00,13:30,11/2/00,12:45,71.2,6,6,5.2,6',5,,,,,,,1,"West end, NW shore, off large landing/pull over","overcast, lt./mod. wind, ~5o",All fish released at boat launch b/c of wind.
541763,5992600,RS/CF,11/2/00,13:00,11/6/00,13:20,96.3,6,5,5.2,6',1,,,,,,,1,"West end, NW shore, off large landing/pull over","overcast, lt./mod. wind, ~5o",Pulled and moved.  One wing found to be non-functional upon pulling b/c of dead head in center lead.
543619,5994455,RS/CF,9/27/00,14:05,9/28/00,11:15,21.2,15,13,5.4,14-18',0,3,2,,3,,,1,"West end, off N shore between boat launch and Park point","sunny, calm, ~18o",
543619,5994455,RS/CF,9/28/00,12:00,10/2/00,12:15,96.3,13,12,5.4,14-18',9,6,1,,1,,,1,"West end, off N shore between boat launch and Park point","sunny, calm, ~15o",
543619,5994455,RS/CF,10/2/00,13:54,10/4/00,13:00,95.1,12,10,5.4,14-18',4,3,1,,,,,1,"West end, off N shore between boat launch and Park point","overcast, lt. wind, ~7o",
543619,5994455,RS/CF,10/4/00,13:45,10/6/00,11:00,45.2,10,10,5.4,14-18',6,10,3,,2,,,2,"West end, off N shore between boat launch and Park point","sunny, calm, ~2o",
543619,5994455,RS/CF,10/6/00,12:00,10/10/00,10:45,94.7,10,9,5.4,14-18',13,6,4,3,,,,2,"West end, off N shore between boat launch and Park point","sunny, lt./mod. wind, ~4o",Move set.
544987,5994224,RS/CF,9/26/00,12:10,9/28/00,10:30,46.3,12,13,5.4,6',0,,,,,,,1,"West end, off small point along S shore, SE of Park point","sunny, calm, ~14o",Zero catch likely the result of the center lead being tangled around heart area.  Fixed and reset.
544987,5994224,RS/CF,9/28/00,11:00,10/2/00,11:25,96.4,13,12,5.4,6',3,,19,,,,,1,"West end, off small point along S shore, SE of Park point","sunny, calm, ~15o",
544987,5994224,RS/CF,10/2/00,11:55,10/4/00,10:15,46.3,12,10,5.4,6',3,,1,,,,,1,"West end, off small point along S shore, SE of Park point","overcast, lt. wind, ~7o",Move set.
543922,5993678,RS/CF,9/19/00,14:05,9/20/00,12:05,22.0,14,13,5.5,14-18',0,1,10,1,4,,,1,"West end, off S shore, straight across from boat launch","pt. cloudy, lt. wind, ~15o",
543922,5993678,RS/CF,9/20/00,12:15,9/25/00,14:00,121.8,13,15,5.5,14-18',5,,6,,5,,,1,"West end, off S shore, straight across from boat launch","overcast, lt. wind, ~8o",Center and wing leads moved by wind.  Realigned and reset
543922,5993678,RS/CF,9/25/00,15:00,9/27/00,12:00,69.0,15,13,5.5,14-18',0,4,148,3,4,,,4,"West end, off S shore, straight across from boat launch","sunny, calm, ~20o","No BB, yet a high no. of coarse fish particularily suckers."
,,,,,,,1440.3,,,,,110,105,555,15,525,0,1,,,,
542398,5993657,RS/CF,9/14/00,13:20,9/15/00,14:00,24.7,16,15,6.0,14-18',2,8,5,1,140,,,4,"West end, off NW shore from small hwy. pull over","sunny, calm, ~20o",Few BB considering large no. of PCC
542409,5993658,RS/CF,9/15/00,14:45,9/18/00,12:15,69.5,15,14,6.0,14-18',4,7,7,,5,,,1,"West end, off NW shore from small hwy. pull over","sunny, calm, ~20o",Center lead badly bowed upon arrival.  Fixed and reset.
542409,5993658,RS/CF,9/18/00,13:40,9/19/00,12:25,22.7,14,14,6.0,14-18',1,2,1,,,,,1,"West end, off NW shore from small hwy. pull over","sunny, lt./mod. wind, ~12o",Moved set.
,,,,,,,116.9,,,,,7,17,13,1,145,0,0,,,,
544208,5994531,RS/CF,11/2/00,12:30,11/6/00,12:20,95.8,6,5,6.4,14-18',11,,,,,,,2,Off Park point,"overcast, lt. wind, drizzle, ~5o",
544208,5994531,RS/JY,11/6/00,13:05,11/8/00,10:10,45.1,5,5,6.4,14-18',12,,,,,2,,2,Off Park point,"overcast, lt. wind, ~1o",Pulled from Lake.  
,,,,,,,140.9,,,,,23,34,26,1,290,2,0,,,,
