Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),"Time 
Pulled",UTM Zone,UTM Easting,UTM Northing,"Trap 
Type", Bait ,"Depth
m",Temp C,"Secchi 
Depth m","Burbot 
Captured 
Y/N","No. Burbot 
Captured","Len 
(mm)",Wt (kg),"Girth 
(mm)","Tag 
applied 
(Y/N)","Tag No.
/ Colour","Recap 
(Y/N)","Tag No. 
/ Colour","Fate 
(D/L)",Decompression Stress (Y/N),Treatment,"Sacrificed 
(Y/N)","Sacrificied 
Code",Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-17,2-Jul-12,1109,4-Jul-11,0958,10U,476987,5986526,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,2-Jul-12,1027,4-Jul-11,0916,10U,476737,5986482,Hoop Trap L,NSC,9.4,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,2-Jul-12,1055,4-Jul-11,0944,10U,476916,5986497,Hoop Trap L,NSC,13,15,3,Y,1,650,1.32,250,N,,N,,D,N,N/A,Y,121,"Sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,2-Jul-12,1143,4-Jul-11,1034,10U,477608,5986652,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,2-Jul-12,1304,4-Jul-11,1154,10U,477599,5987087,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,2-Jul-12,1435,4-Jul-11,1325,10U,477596,5986753,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,2-Jul-12,1134,4-Jul-11,1023,10U,477463,5986606,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,2-Jul-12,0946,4-Jul-11,0837,10U,477267,5986422,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,2-Jul-12,1117,4-Jul-11,1006,10U,477273,5986535,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,2-Jul-12,1254,4-Jul-11,1145,10U,477724,5986706,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,2-Jul-12,1443,4-Jul-11,1333,10U,477648,5986745,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,2-Jul-12,1451,4-Jul-11,1340,10U,477676,5987037,Hoop Trap L,NSC,12,15,3,Y,1,530,1.00,210,Y,Orange FWPG 02610,N,,L,N,ROSB,N,,"BB appeared to have a lamprey mark on left side. Old bait removed, fresh bait added. Trap reset in same general location. Fish was vigorous and healthy at release.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,2-Jul-12,1146,4-Jul-11,1036,10U,477403,5986893,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,2-Jul-12,1249,4-Jul-11,1131,10U,477398,5987022,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,2-Jul-12,1239,4-Jul-11,1128,10U,477254,5987144,Hoop Trap L,NSC,5.8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,2-Jul-12,1131,4-Jul-11,1022,10U,477246,5986805,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
