Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
12,8-Jun-09,1056,9-Jun-09,1120,10U,475857,5959212,Cod Trap, CF , Salmon/ PCC/LSU ,22.1,15,2.1,N,0,,,,,,,,,,,,Reset in same area. Bait not refreshed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8-Jun-09,1106,9-Jun-09,1145,10U,475409,5959066,Cod Trap, OF , Salmon ,18.1,15,2.1,N,0,,,,,,,,,,,,"Bait not refreshed, reset same area. Sunny, clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8-Jun-09,1115,9-Jun-09,1151,10U,475243,5958997,Cod Trap, CF , Salmon/ PCC ,15.1,15,2.1,N,0,,,,,,,,,,,,"Reset in different area, bait not refreshed. Clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9-Jun-09,1013,10-Jun-09,1324,10U,476792,5959554,Cod Trap, OF , Salmon ,18.5,17,2.2,Y,1,620,2.65,340,Y,FW YELLOW BC02790,N,,L,N,,,"Fish revived well. All old bait removed, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9-Jun-09,1103,10-Jun-09,1147,10U,476267,5959367,Cod Trap, CF , Salmon ,23.2,17,2.2,Y,1,431,0.68,160,Y,FW YELLOW BC02791,N,,L,N,,,Fish revived well. All old bait removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9-Jun-09,1113,10-Jun-09,1120,10U,475995,5959271,Cod Trap, CF , Salmon/ PCC ,21.9,17,2.1,Y,1,720,2.68,300,Y,FW YELLOW BC02792,N,,L,N,,,All old bait removed from trap. Trap reset. Overcast & muggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9-Jun-09,1121,10-Jun-09,1102,10U,475825,5959195,Cod Trap, CF , Salmon/ PCC/LSU ,21.7,17,2.1,Y,1,460,0.89,170,Y,FW YELLOW BC02793,N,,L,N,,,"Fresh bait added, removed all old bait. Fish revived well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9-Jun-09,1138,10-Jun-09,1032,10U,475634,5959212,Cod Trap, CF , Salmon/ PCC ,20.6,17,2.1,Y,1,690,2.71,280,Y,FW YELLOW BC02794,N,,L,N,,,All old bait removed. Trap reset in same spot. Fish revived well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9-Jun-09,1155,10-Jun-09,1008,10U,475156,5958822,Cod Trap, CF , Salmon/ PCC ,20.5,18,2.1,Y,1,540,1.21,220,Y,FW YELLOW BC02795,N,,L,N,,,"Old bait removed, fresh bait added. Reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9-Jun-09,0817,10-Jun-09,1500,10U,478437,5959175,Cod Trap, OF , Salmon ,3.3,15,2.2,N,0,,,,,,,,,,,,"All bi-catch used for bait, old bait removed, all bi-catch put in Trap #1",PCC,4,,190,190,250,200,,NSC,1,,190,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9-Jun-09,1215,10-Jun-09,0924,10U,474360,5958393,Cod Trap, OF , Salmon ,9.6,18,2.2,N,0,,,,,,,,,,,,Trap set out from creek mouth. Bait refreshed with PCC and NSC,PCC,1,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9-Jun-09,1202,10-Jun-09,0955,10U,475028,5958540,Cod Trap, OF , Salmon/ PCC ,20.0,18,2.2,N,0,,,,,,,,,,,,"No fish caught, old bait removed and replaced with fresh bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9-Jun-09,0836,10-Jun-09,1447,10U,477670,5959373,Cod Trap, CF , Salmon ,9.2,16,2.2,N,0,,,,,,,,,,,,"No fish caught, all old bait removed, new bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9-Jun-09,0920,10-Jun-09,1430,10U,477561,5959612,Cod Trap, CF , Salmon ,10.9,16,2.2,N,0,,,,,,,,,,,,"No fish caught, all old bait removed, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9-Jun-09,0937,10-Jun-09,1417,10U,477239,5959675,Cod Trap, CF , Salmon ,19.5,16,2.2,N,0,,,,,,,,,,,,"No fish caught, all old bait removed from trap, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9-Jun-09,1000,10-Jun-09,1348,10U,476966,5959338,Cod Trap, OF , Salmon ,23.2,17,2.2,N,0,,,,,,,,,,,,"No fish caught, all old bait removed, replaced with fresh bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9-Jun-09,1053,10-Jun-09,1245,10U,476528,5959426,Cod Trap, CF , Salmon/ PCC ,23.0,17,2.1,N,0,,,,,,,,,,,,"No fish caught, old bait removed and replaced with fresh bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9-Jun-09,1147,10-Jun-09,1024,10U,475395,5959062,Cod Trap, OF , Salmon ,17.5,17,2.1,N,0,,,,,,,,,,,,"No fish caught, trap relocated to deeper location. Fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10-Jun-09,1439,11-Jun-09,1331,10U,477458,5959527,Cod Trap, CF , NSC ,14.5,18,2.5,Y,3 of 3,540,1.55,250,Y,FW ORANGE BC02433,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10-Jun-09,1439,11-Jun-09,1331,10U,477458,5959527,Cod Trap, CF , NSC ,14.5,18,2.5,Y,2 of 3,470,1,220,Y,FW ORANGE BC02434,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10-Jun-09,1439,11-Jun-09,1331,10U,477458,5959527,Cod Trap, CF , NSC ,14.5,18,2.5,Y,1 of 3,740,3.02,310,Y,FW ORANGE BC02435,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10-Jun-09,1421,11-Jun-09,1321,10U,477238,5959693,Cod Trap, CF , NSC ,19.1,19,2.5,Y,1,630,2.04,260,Y,FW ORANGE BC02436,N,,L,N,,,"Bait refreshed, reset trap in same spot. Sunny/clouds/windy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10-Jun-09,1356,11-Jun-09,1300,10U,477100,5959250,Cod Trap, OF , NSC ,20.0,18,2.5,Y,1,480,1,200,Y,FW ORANGE BC02441,N,,L,N,,,"Reset trap in same area, refreshed bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10-Jun-09,1255,11-Jun-09,1236,10U,476477,5959529,Cod Trap, CF , NSC/PCC ,20.7,18,2.5,Y,1,640.5,2.17,280,Y,FW ORANGE BC02442,N,,L,N,,,Trap relocated towards North shore. Refreshed bait. 50% cloud ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10-Jun-09,1159,11-Jun-09,1202,10U,476273,5959351,Cod Trap, CF , NSC ,23.5,18,2.5,Y,3 of 3,460,0.94,200,Y,FW ORANGE BC02446,N,,L,N,,,2 of 3 fish had air bladder popping out of their mouths. Punctured 2 of 3 burbot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10-Jun-09,1159,11-Jun-09,1202,10U,476273,5959351,Cod Trap, CF , NSC ,23.5,18,2.5,Y,2 of 3,380,1.51,141,Y,FW ORANGE BC02447,N,,L,N,,,2 of 3 fish had air bladder popping out of their mouths. Punctured 2 of 3 burbot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10-Jun-09,1159,11-Jun-09,1202,10U,476273,5959351,Cod Trap, CF , NSC ,23.5,18,2.5,Y,1 of 3,360,0.66,120,Y,FW ORANGE BC02448,N,,L,N,,,2 of 3 fish had air bladder popping out of their mouths. Punctured 2 of 3 burbot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10-Jun-09,1127,11-Jun-09,1147,10U,475996,5959258,Cod Trap, CF , NSC ,22.3,18,2.5,Y,2 of 2,650,1.95,250,Y,FW ORANGE BC02449,N,,L,N,,,"Re-baited, reset trap in same area. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10-Jun-09,1127,11-Jun-09,1147,10U,475996,5959258,Cod Trap, CF , NSC ,22.3,18,2.5,Y,1 of 2,570.5,1.42,230,Y,FW ORANGE BC02450,N,,L,N,,,"Re-baited, reset trap in same area. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10-Jun-09,1113,11-Jun-09,1135,10U,475828,5959191,Cod Trap, CF , NSC ,21.6,18,2.5,Y,2 of 2,610,1.72,250,Y,FW YELLOW BC02777,N,,L,N,,,"Rebaited, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10-Jun-09,1113,11-Jun-09,1135,10U,475828,5959191,Cod Trap, CF , NSC ,21.6,18,2.5,Y,1 of 2,700,3.13,320,Y,FW YELLOW BC02778,N,,L,N,,Fisherman Return Jan 2011.,"Rebaited, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10-Jun-09,1048,11-Jun-09,1121,10U,475630,5959224,Cod Trap, CF , NSC/PCC ,21.2,18,2.5,Y,2 of 2,690,2.41,270,Y,FW YELLOW BC02779,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10-Jun-09,1048,11-Jun-09,1121,10U,475630,5959224,Cod Trap, CF , NSC/PCC ,21.2,18,2.5,Y,1 of 2,730,3.15,320,Y,FW YELLOW BC02780,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10-Jun-09,1030,11-Jun-09,1052,10U,475505,5959962,Cod Trap, OF , NSC/PCC ,21.5,18,2.5,Y,1,631,2.05,261,Y,FW YELLOW BC02781,N,,L,N,,,"Added new bait, old bait removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10-Jun-09,1018,11-Jun-09,1028,10U,475171,5958816,Cod Trap, CF , NSC ,20.5,18,2.5,Y,3 of 3,590,1.72,250,Y,FW YELLOW BC02782,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10-Jun-09,1018,11-Jun-09,1028,10U,475171,5958816,Cod Trap, CF , NSC ,20.5,18,2.5,Y,2 of 3,570,1.52,250,Y,FW YELLOW BC02783,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10-Jun-09,1018,11-Jun-09,1028,10U,475171,5958816,Cod Trap, CF , NSC ,20.5,18,2.5,Y,1 of 3,630.5,1.82,260.5,Y,FW YELLOW BC02784,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10-Jun-09,1001,11-Jun-09,1015,10U,475038,5958535,Cod Trap, OF , NSC/PCC ,20.5,18,2.5,Y,1,720,3.14,330,Y,FW YELLOW BC02785,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10-Jun-09,1508,11-Jun-09,0913,10U,478436,5959170,Cod Trap, OF , NSC/PCC ,3.2,19,2.5,Y,2 of 2,530,1.39,240,Y,FW YELLOW BC02786,N,,L,N,,,"Bait - 2 PCC & NSC. Rebaited trap, fish did not need puncturing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10-Jun-09,1508,11-Jun-09,0913,10U,478436,5959170,Cod Trap, OF , NSC/PCC ,3.2,19,2.5,Y,1 of 2,510,1.28,220,Y,FW YELLOW BC02787,N,,L,N,,,"Bait - 2 PCC & NSC. Rebaited trap, fish did not need puncturing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10-Jun-09,0928,11-Jun-09,1007,10U,474355,5958367,Cod Trap, OF , NSC/PCC ,6.2,17,2.5,N,0,,,,,,,,,,,,"No fish caught, trap relocated down shoreline (west)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10-Jun-09,1448,11-Jun-09,1350,10U,477743,5959368,Cod Trap, CF , NSC/PCC ,7.2,19,2.5,N,0,,,,,,,,,,,,Burbot got away through opening of the trap. Rebaited and reset trap in same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10-Jun-09,1337,11-Jun-09,1253,10U,476786,5959541,Cod Trap, OF , NSC ,20.3,18,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-Jun-09,1012,12-Jun-09,1016,10U,473981,5958579,Cod Trap, OF , NSC ,9.5,17,2.5,Y,1,460,0.95,210,Y,FW PINK BC00000128,N,,L,N,,,"Reset same area, refreshed bait. Sunny/clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11-Jun-09,1046,12-Jun-09,1033,10U,475232,5958814,Cod Trap, CF , NSC/PCC ,20.8,18,2.5,Y,1,710.5,2.86,310,Y,FW PINK BC00000129,N,,L,N,,,"Replaced bait, set in same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11-Jun-09,1130,12-Jun-09,1046,10U,475642,5959207,Cod Trap, CF , NSC/PCC ,19.4,19,2.5,Y,1 of 2,690,2.45,280,Y,FW PINK BC00000130,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11-Jun-09,1130,12-Jun-09,1046,10U,475642,5959207,Cod Trap, CF , NSC/PCC ,19.4,19,2.5,Y,2 of 2,680,2.28,290,Y,FW PINK BC00000131,N,,L,N,,,"Refreshed bait, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11-Jun-09,1200,12-Jun-09,1113,10U,476035,5959245,Cod Trap, CF , NSC/PCC ,21.1,19,2.5,Y,1,640,1.67,240,Y,FW PINK BC00000132,N,,L,N,,,"Bait still good, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11-Jun-09,1214,12-Jun-09,1129,10U,476275,5959333,Cod Trap, CF , NSC ,22.2,19,2.5,Y,1 of 2,550,1.34,220,Y,FW PINK BC00000133,N,,L,N,,,"No fresh bait added, reset same spot. Hot, clear sky, calm water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11-Jun-09,1214,12-Jun-09,1129,10U,476275,5959333,Cod Trap, CF , NSC ,22.2,19,2.5,Y,2 of 2,600,1.76,240,Y,FW PINK BC00000134,N,,L,N,,,"No fresh bait added, reset same spot. Hot, clear sky, calm water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11-Jun-09,1254,12-Jun-09,1154,10U,476803,5959523,Cod Trap, OF , NSC ,20.5,18,2.5,Y,1,550.5,1.44,200,Y,FW PINK BC00000136,N,,L,N,,,"New bait added. Reset trap in same area. Sunny, clear sky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11-Jun-09,1302,17-Jun-09,1214,10U,477124,5959244,Cod Trap, OF , NSC ,14.9,19,2.5,Y,1 of 2,500,1.08,181,Y,FW PINK BC00000138,N,,L,N,,,cloudy periods/sunny/hot. NSC added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11-Jun-09,1302,17-Jun-09,1214,10U,477124,5959244,Cod Trap, OF , NSC ,14.9,19,2.5,Y,2 of 2,450,0.75,170,Y,FW PINK BC00000142,N,,L,N,,,cloudy periods/sunny/hot. NSC added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11-Jun-09,1346,12-Jun-09,1233,10U,477503,5959165,Cod Trap, CF , NSC ,14.1,19,2.5,Y,1 of 2,700,2.65,300,Y,FW PINK BC00000143,N,,L,N,,,Refreshed bait. Sacrificed fish would not submerge even after puncturing. Fish was floating by the head (gas build up?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11-Jun-09,1346,12-Jun-09,1233,10U,477503,5959165,Cod Trap, CF , NSC ,14.1,19,2.5,Y,2 of 2,500,1.16,200,Y,N/A,N,,D,Y,002,,Refreshed bait. Sacrificed fish would not submerge even after puncturing. Fish was floating by the head (gas build up?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11-Jun-09,0920,12-Jun-09,0938,10U,478490,5959156,Cod Trap, OF , NSC/PCC ,3.7,18,2.5,N,0,,,,,,,,,,,,"No burbot caught, RSC used for bait, no other bait added",RSC,1,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11-Jun-09,1024,12-Jun-09,1025,10U,475064,5958525,Cod Trap, OF , NSC/PCC ,18.9,19,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11-Jun-09,1354,12-Jun-09,1248,10U,477777,5959368,Cod Trap, CF , NSC ,5.3,19,2.5,N,0,,,,,,,,,,,,"No fish caught, no bait added, trap reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11-Jun-09,1328,12-Jun-09,1228,10U,477257,5959694,Cod Trap, CF , NSC/PCC ,18.1,18,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not replenished. Reset trap in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11-Jun-09,1244,12-Jun-09,1138,10U,476500,5959504,Cod Trap, CF , NSC ,20.2,19,2.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed. Reset trap in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11-Jun-09,1130,13-Jun-09,1200,10U,476288,5959319,Cod Trap, CF , NSC ,22.0,20,2.5,N,0,,,,,,,,,,,,Trap pulled on 06/13/09. No fish caught. No fresh bait added. Trap moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11-Jun-09,1146,12-Jun-09,1056,10U,475858,5959172,Cod Trap, CF , NSC ,20.8,20,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Reset trap in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11-Jun-09,1037,12-Jun-09,1042,10U,475525,5958948,Cod Trap, OF , NSC/PCC ,20.2,18,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed. Set in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12-Jun-09,1043,13-Jun-09,1110,10U,475531,5958958,Cod Trap, OF , NSC ,20.2,18,2.5,Y,2 of 2,570,1.74,240,Y,FW BLUE BC05198,N,,L,N,,,Rebaited trap. Reset same area. Smaller burbot air bladder was coming out the mouth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12-Jun-09,1043,13-Jun-09,1110,10U,475531,5958958,Cod Trap, OF , NSC ,20.2,18,2.5,Y,1 of 2,410,0.06,180,Y,FW BLUE BC05200,N,,L,N,,,Rebaited trap. Reset same area. Smaller burbot air bladder was coming out the mouth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12-Jun-09,1035,13-Jun-09,1100,10U,475270,5958788,Cod Trap, CF , NSC ,20.0,18,2.5,Y,1,680,3.05,360,Y,FW PINK BC00000149,N,,L,N,,,Rebaited trap. Reset same area. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12-Jun-09,0940,13-Jun-09,0839,10U,478501,5959162,Cod Trap, OF , NSC/PCC ,3.6,18,2.5,N,0,,,,,,,,,,,,"No burbot caught, fresh bait (3 NSC) left in trap - trap relocated",NSC,3,,220,240,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12-Jun-09,1015,13-Jun-09,1034,10U,473994,5958559,Cod Trap, OF , NSC ,10.0,18,2.5,N,0,,,,,,,,,,,,"No fish caught, old bait removed - fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12-Jun-09,1028,13-Jun-09,1047,10U,475061,5958518,Cod Trap, OF , NSC ,18.5,18,2.5,N,0,,,,,,,,,,,,"Pulled trap to reset different area. No fish caught, replaced bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12-Jun-09,1251,13-Jun-09,0847,10U,477772,5959348,Cod Trap, CF , NSC ,5.6,20,2.5,N,0,,,,,,,,,,,,"No fish caught, lots of bait, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12-Jun-09,1237,13-Jun-09,0854,10U,477495,5959524,Cod Trap, CF , NSC ,14.2,19,2.5,N,0,,,,,,,,,,,,"No fish caught, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12-Jun-09,1230,13-Jun-09,0859,10U,477249,5959698,Cod Trap, CF , NSC ,18.0,20,2.5,N,0,,,,,,,,,,,,"No fish caught, refreshed bait. Moved trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12-Jun-09,1216,13-Jun-09,0908,10U,477103,5959243,Cod Trap, OF , NSC ,18.5,20,2.5,N,0,,,,,,,,,,,,"No fish caught, old bait removed, refreshed bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12-Jun-09,1158,13-Jun-09,0915,10U,476777,5959523,Cod Trap, OF , NSC ,21.1,20,2.5,N,0,,,,,,,,,,,,"No fish caught. Old bait removed, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12-Jun-09,1140,13-Jun-09,0949,10U,476520,5959495,Cod Trap, CF , NSC ,20.2,19,2.5,N,0,,,,,,,,,,,,"No fish caught, replaced the bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12-Jun-09,1113,13-Jun-09,1208,10U,476035,5959245,Cod Trap, CF , NSC/PCC ,21.0,19,2.5,N,0,,,,,,,,,,,,"No fish caught, reset same area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12-Jun-09,1058,13-Jun-09,1140,10U,475864,5959175,Cod Trap, CF , NSC ,20.8,19,2.5,N,0,,,,,,,,,,,,"No fish caught. Old bait removed, fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12-Jun-09,1049,13-Jun-09,1130,10U,475628,5959217,Cod Trap, CF , NSC/PCC ,19.3,18,2.5,N,0,,,,,,,,,,,,"No fish caught, old bait removed, fresh bait in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13-Jun-09,0903,14-Jun-09,1127,10U,477128,5959589,Cod Trap, CF , NSC ,19.4,19,2.5,Y,1,470,1,200,Y,FW BLUE BC05184,N,,L,N,,,"Old bait removed, new bait added. Reset in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13-Jun-09,0919,14-Jun-09,1110,10U,476773,5959530,Cod Trap, OF , NSC ,20.7,19,2.5,Y,2 of 2,360,0.56,140,Y,FW BLUE BC05185,N,,L,N,,,"Reset same area, rebaited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13-Jun-09,0919,14-Jun-09,1110,10U,476773,5959530,Cod Trap, OF , NSC ,20.7,19,2.5,Y,1 of 2,420,0.72,165,Y,FW BLUE BC05187,N,,L,N,,,"Reset same area, rebaited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13-Jun-09,0952,14-Jun-09,1059,10U,476777,5959524,Cod Trap, CF , NSC ,20.7,19,2.5,Y,1,380,0.63,170,Y,FW BLUE BC05188,N,,L,N,,,"Old bait removed, fresh bait added. Reset in same spot. Good release",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13-Jun-09,1210,14-Jun-09,1002,10U,476023,5959239,Cod Trap, CF , NSC ,20.9,20,2.5,Y,2 of 2,650,2.43,295,Y,FW BLUE BC05189,N,,L,N,,,"Old bait removed, new bait added. Larger fish needed longer to revive. Appears gas in head",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13-Jun-09,1210,14-Jun-09,1002,10U,476023,5959239,Cod Trap, CF , NSC ,20.9,20,2.5,Y,1 of 2,400,0.68,150,Y,FW BLUE BC05190,N,,L,N,,,"Old bait removed, new bait added. Larger fish needed longer to revive. Appears gas in head",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13-Jun-09,1146,14-Jun-09,0952,10U,476173,5958986,Cod Trap, CF , CSU ,18.0,21,2.5,Y,1,720,2.64,280,Y,FW BLUE BC05191,N,,L,N,,,"Old bait removed, fresh added. Fish revived well (punctured)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13-Jun-09,1204,14-Jun-09,0939,10U,475774,5959645,Cod Trap, CF , NSC ,19.3,21,2.5,Y,1,585,1.93,290,Y,FW BLUE BC05192,N,,L,N,,Fisherman Return March 3 2010.,"Bait refreshed, old bait removed. Clear, calm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13-Jun-09,1136,14-Jun-09,0926,10U,475556,5959323,Cod Trap, CF , NSC/CSU ,17.4,20,2.5,Y,1,640,2.31,265,Y,FW BLUE BC05193,N,,L,N,,,"Old bait removed, fresh bait in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13-Jun-09,1124,14-Jun-09,0914,10U,475535,5958966,Cod Trap, OF , CSU/PCC ,20.2,20,2.5,Y,1,720,2.53,290,Y,FW BLUE BC05194,N,,L,N,,Fisherman Return Jan 2011.,"Fish revived well - old bait removed, new bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13-Jun-09,0843,14-Jun-09,1152,10U,478511,5959236,Cod Trap, OF , NSC ,6.4,19,2.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed, set in same spot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13-Jun-09,1043,14-Jun-09,0837,10U,473716,5959014,Cod Trap, OF , NSC/PCC ,5.5,18,2.5,N,0,,,,,,,,,,,,No burbot - NSC retained for bait,NSC,1,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
