Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
15,4-Jun-09,1934,5-Jun-09,1346,10U,475271,5959089,Cod Trap, CF , Sockeye ,15.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, lots of bait, not replenished. Very rough condition /wind/waves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5-Jun-09,1348,6-Jun-09,2050,10U,475234,5959040,Cod Trap, CF , Sockeye/ coho ,12.9,15,1.5,Y,1,510,1.06,230,Y,FW YELLOW BC02764,N,,L,N,,Fishermen Return Feb. 2010,Replenished bait w/ Coho. Fish ounctured and on its way.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5-Jun-09,1137,6-Jun-09,1843,10U,477316,5959706,Cod Trap, CF , Sockeye ,20.0,14,1.5,Y,1,680,2.48,300,Y,FW YELLOW BC02765,N,,L,N,,,Bait not replenished after move. Note girth on this fish is after pucturing to release gasses. Puncturing worked very well - fish return to depth vigorously. Bait was replenished and trap was reset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5-Jun-09,1032,6-Jun-09,1737,10U,478286,5959297,Cod Trap, OF , Sockeye ,6.2,15,1.5,N,0,,,,,,,,,,,,4 red sided shiners. Bait refreshed. Trap not moved due to time constraints. Will move tomorrow.,RSC,4,,7.5,8.5,8.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5-Jun-09,1042,6-Jun-09,1757,10U,478110,5959401,Cod Trap, OF , Sockeye ,11.8,14,1.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed. Trap not moved. Will move tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5-Jun-09,1050,6-Jun-09,1811,10U,477901,5959399,Cod Trap, OF , Sockeye ,13.4,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed. Trap not moved. Will move tomorrow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5-Jun-09,1103,6-Jun-09,1821,10U,477748,5959373,Cod Trap, CF , Sockeye ,9.5,15,1.5,N,0,,,,,,,,,,,,"No fish caught, refreshed bait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5-Jun-09,1124,6-Jun-09,1834,10U,477611,5959587,Cod Trap, CF , Sockeye ,12.0,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5-Jun-09,1153,6-Jun-09,1908,10U,477049,5959382,Cod Trap, OF , Sockeye ,25.0,15,1.5,N,0,,,,,,,,,,,,"Bait replenished after move. Trap appears to have drifted a little. Bait replenished, trap reset. No fish caught.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5-Jun-09,1208,6-Jun-09,1922,10U,476613,5959187,Cod Trap, OF , Sockeye ,22.2,15,1.5,N,0,,,,,,,,,,,,Ne appears to have drifted considerably. UTM is where net was pulled. Replenished baitand moved trap. No fish caught.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5-Jun-09,1233,6-Jun-09,1939,10U,476600,5959462,Cod Trap, CF , Sockeye/ coho ,24.0,14,1.5,N,0,,,,,,,,,,,,Replenished bait w/ Coho. No fish caught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5-Jun-09,1250,6-Jun-09,2006,10U,475805,5959116,Cod Trap, CF , Sockeye/ coho ,21.8,15,1.5,N,0,,,,,,,,,,,,"Trap was found down lake past trap 12 and brought back into sequential order. No fish caught, replenished bait with Coho after move. Bouy rope was lenthened after move.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5-Jun-09,1308,6-Jun-09,1758,10U,476825,5959283,Cod Trap, CF , Sockeye/ coho ,22.3,15,0.9,N,0,,,,,,,,,,,,Fish left in trap overnight remained - punctured and went freely to the bottom vigorously. Bait replenished w/ Coho. No new fish caught.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5-Jun-09,1321,6-Jun-09,2024,10U,475901,5959243,Cod Trap, CF , Sockeye/ coho ,21.8,15,1.5,N,0,,,,,,,,,,,,Replenished bait w/ Coho. No fish caught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5-Jun-09,1329,6-Jun-09,2036,10U,475703,5959211,Cod Trap, CF , Sockeye ,21.7,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not replaced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5-Jun-09,1338,6-Jun-09,2043,10U,475453,5959095,Cod Trap, OF , Sockeye/ coho ,17.6,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait replenished w/ Coho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6-Jun-09,1836,7-Jun-09,1617,10U,477602,5959587,Cod Trap, CF , Salmon ,11.7,15,1.5,Y,1,570,1.52,270,Y,FW YELLOW BC02759,N,,L,N,,,"Fish not reviving well. Punctured 3 times, still has gas. Fish released back into lake. Bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6-Jun-09,2016,7-Jun-09,1458,10U,476081,5959282,Cod Trap, CF , Salmon ,22.4,12,1.5,Y,1,720,2.6,270,Y,FW YELLOW BC02760,N,,L,N,,,Bait refreshed. Fish was punctured and released 8 punctured before girth measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6-Jun-09,2046,7-Jun-09,1415,10U,475451,5959093,Cod Trap, OF , Salmon ,17.4,12,1.5,Y,1,645,1.84,260,Y,FW YELLOW BC02761,N,,L,N,,,Fish was punctured but resurfaced shortly after release. Fish was punctured again and released successfully. Bait refreshed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6-Jun-09,1746,7-Jun-09,1704,10U,478268,5959295,Cod Trap, OF , Salmon ,6.2,15,1.5,N,0,,,,,,,,,,,,All bi-catch kept for bait - trap refreshed with salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6-Jun-09,1809,7-Jun-09,1658,10U,478099,5959406,Cod Trap, OF , Salmon ,11.5,14,1.5,N,0,,,,,,,,,,,,"No fish caught, bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6-Jun-09,1814,7-Jun-09,1652,10U,477876,5959402,Cod Trap, OF , Salmon/ PCC ,12.0,14,1.5,N,0,,,,,,,,,,,,Peamouth added to bait. No salmon put in trap,PCC,1,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6-Jun-09,1822,7-Jun-09,1642,10U,477733,5959380,Cod Trap, CF , Salmon ,11.4,15,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6-Jun-09,1855,7-Jun-09,1556,10U,477305,5959701,Cod Trap, CF , Salmon ,18.8,14,1.5,N,0,,,,,,,,,,,,"No fish caught, bait not refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6-Jun-09,1914,7-Jun-09,1542,10U,477009,5959370,Cod Trap, OF , Salmon ,23.5,13,1.5,N,0,,,,,,,,,,,,"Spoke with residents about study. Bait not refreshed, no fish caught",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
