Trap #,Date Set,Time Set,Date Pulled,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour2,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificied Code,Comments,Sp.,No.L,No.D,Len,Len3,Len4,Len5,Len6,Sp.7,No.L8,No.D9,Len10,Len11,Len12,Len13,Len14,Sp.15,No.L16,No.D17,Len18,Len19,Len20,Len21,Len22,Sp.23,No.L24,No.D25,Len26,Len27,Len28,Len29,Len30,Sp.31,No.L32,No.D33,Len34,Len35,Len36
H-21,15-Oct-10,1145,19-Oct-10,1113,10U,476156,5986345,Hoop Trap L, 3 Pieces of Sockeye ,3.4,8,2,Y,1,465,0.84,180,N,,Y,Orange FWPG 2128,L,N,ROSB,N,,Tag had come off in trap. Fish showed tag scars. Same tag was re-implanted in fish. Fish swam away well with no concerns. Trap reset in same general location. Old bait removed on 10/19/10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,15-Oct-10,1250,19-Oct-10,1249,10U,477324,5986419,Hoop Trap L, 2 Pieces of Sockeye ,15.0,8,2,Y,1,520,1.7,220,Y,Orange FWPG 2189,N,,L,N,ROSB,N,,"Trap needed repair- Hoop off of rebar. Old bait removed 10/19/10. Trap reset in same general location, fish released without incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,15-Oct-10,1350,19-Oct-10,1413,10U,477693,5986995,Hoop Trap L, 2 Pieces of Sockeye ,13.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,2,0,260,105,,,,CAS,1,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,15-Oct-10,1134,19-Oct-10,1058,10U,475374,5986224,Hoop Trap L, 3 Pieces of Sockeye ,5.3,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap had lost fastener-hoop disconnected from rebar. Fixed trap. Trap reset in same general location.,CAS,1,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,15-Oct-10,1451,19-Oct-10,1503,10U,478643,5987258,Hoop Trap L, 2 Pieces of Sockeye ,11.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,2,0,160,115,,,,CAS,5,0,85,80,70,80,69,,,,,,,,,,,,,,,,,,,,,,
H-11,15-Oct-10,1140,19-Oct-10,1106,10U,475818,5986248,Hoop Trap L, 2 Pieces of Sockeye ,7.9,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,1,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,15-Oct-10,1336,19-Oct-10,1439,10U,477617,5986578,Hoop Trap L, 2 Pieces of Sockeye ,15.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,1,0,160,,,,,CAS,4,0,60,55,70,60,,,,,,,,,,,,,,,,,,,,,,,
H-13,15-Oct-10,1434,19-Oct-10,1446,10U,478309,5987314,Hoop Trap L, 2 Pieces of Sockeye + 1 NSC ,11.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,7,0,140,110,125,149,123,CAS,5,0,80,80,85,70,60,,,,,,,,,,,,,,,,,,,,,,
H-14,15-Oct-10,1320,19-Oct-10,1338,10U,477575,5986580,Hoop Trap L, 2 Pieces of Sockeye + 1 NSC ,15.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap reset in same general location.,NSC,1,0,130,,,,,CAS,1,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,15-Oct-10,1108,19-Oct-10,1036,10U,474590,5986063,Hoop Trap L, 4 Pieces of Sockeye ,2.0,8,2,N,0,,,,,,,,,,,,,Old bait removed on 10/19/10. Trap relocated to deeper water out of weeds.,NSC,25,0,110,85,105,75,70,CAS,2,0,70,25,,,,,,,,,,,,,,,,,,,,,,,,,
